city,year,gini_bc,gini_co2_car,gini_co2_truck,gini_co2_total,gini_co2_total_congestion
shimla,2021,0.9053432870195225,0.5484449128886809,0.5444552835189718,0.5437756816664423,0.6023008989084963
shimla,2022,0.9053432870195225,0.5411910060889461,0.5568695135152291,0.5432387243182102,0.6021414686347129
shimla,2023,0.9053432870195225,0.5369427010931522,0.5324439764505438,0.5338776874819363,0.5961451261899772
agartala,2021,0.8575731312414799,0.4665864449939913,0.47178958527749704,0.4659970810099737,0.49862430868060587
agartala,2022,0.8575731312414799,0.4692211725250283,0.470830940935974,0.4685810106982663,0.4909057494144064
agartala,2023,0.8575731312414799,0.47354332189455983,0.4604212163720153,0.46830685505875413,0.5479641046533693
agra,2021,0.9212118577020268,0.4781759655018702,0.47816668365002757,0.4733358743735689,0.6032379919100817
agra,2022,0.9212118577020268,0.49797008006514987,0.48808977922934815,0.4929270468823961,0.6502826847325259
agra,2023,0.9212118577020268,0.5140007717050722,0.4647651758856952,0.4936008109622847,0.671853944725938
vijaywada,2021,0.8824837587088682,0.5121088908667906,0.47863671481743325,0.4921879978757524,0.6521318213455872
vijaywada,2022,0.8824837587088682,0.5734325237703829,0.48316839666556644,0.5439849073161701,0.7348230645681975
vijaywada,2023,0.8824837587088682,0.5058061602374222,0.47117287124375573,0.4860764402634873,0.6576745424036557
gwalior,2021,0.9080630286734714,0.5332581497709532,0.5370090542773084,0.5306151961996791,0.6092999871906594
gwalior,2022,0.9080630286734714,0.5394109712652151,0.5430998006536218,0.5374484702845632,0.6449142439220825
gwalior,2023,0.9080630286734714,0.5476768324129777,0.5187940553256001,0.535865759781548,0.6471561725133702
amravati,2021,0.8785187458046024,0.46827547341442544,0.44878238366222256,0.45718093668864856,0.480213635037708
amravati,2022,0.8785187458046024,0.47418679636612815,0.4622589934035272,0.46848010883853786,0.529264116795002
amravati,2023,0.8785187458046024,0.4726790528992587,0.46660057031436775,0.4653027809325962,0.5228809748987125
nashik,2021,0.8939760685520735,0.5129631996059614,0.49452484227304877,0.5022329392163662,0.5601901806137306
nashik,2022,0.8939760685520735,0.5326223122930291,0.5072374850335036,0.5234381074105872,0.6461874737442815
nashik,2023,0.8939760685520735,0.5372928714154006,0.48878526313096293,0.5166353343738093,0.6212406214631937
